Cat_ID_timepoint,Cat_ID,Owner_ID,date,dob,Age_years,Breed,Sex,BCS,MCS_combined,hypertensive_sbp,Hypertension,hypertensive_over.study,stHyp,1st_visit_date,1st_visit_age,Censor_visit_date,Censor_visit_age,baseline_dx
Cat160_0,Cat160,Own126,12/02/2019,26/03/2009,9.883641342,Non-pedigree,Male,8,26,138,No,No,1,12/02/2019,9.883641342,18/02/2020,10.89938398,No
Cat161_0,Cat161,Own127,12/02/2019,14/08/2008,10.49691992,Non-pedigree,Female,4,20,132,No,No,1,12/02/2019,10.49691992,18/02/2020,11.51266256,No
Cat162_0,Cat162,Own128,12/02/2019,15/08/2010,8.495550992,Non-pedigree,Female,7,30,134,No,No,1,12/02/2019,8.495550992,18/02/2020,9.511293634,No
Cat163_0,Cat163,Own076,14/02/2019,16/01/2012,7.080082136,Non-pedigree,Female,6,30,133,No,No,1,14/02/2019,7.080082136,31/08/2023,11.62217659,No
Cat164_0,Cat164,Own129,20/02/2019,15/04/2011,7.852156057,Pedigree,Female,5,30,141,No,No,1,20/02/2019,7.852156057,07/12/2021,10.64750171,No
Cat165_0,Cat165,Own130,26/02/2019,01/08/2009,9.571526352,Non-pedigree,Female,7,30,140,No,No,1,26/02/2019,9.571526352,31/08/2023,14.0807666,No
Cat166_0,Cat166,Own131,18/04/2019,06/03/2011,8.117727584,Non-pedigree,Female,9,30,130.4,No,No,1,18/04/2019,8.117727584,31/10/2023,12.65434634,No
Cat167_0,Cat167,Own132,25/04/2019,01/01/2009,10.31074606,Non-pedigree,Female,8,30,139.2,No,Yes,2,25/04/2019,10.31074606,18/01/2022,13.045859,No
Cat168_0,Cat168,Own133,23/05/2019,11/05/2012,7.030800821,Non-pedigree,Female,6,30,100,No,No,1,23/05/2019,7.030800821,19/12/2023,11.60574949,No
Cat169_0,Cat169,Own133,23/05/2019,11/05/2012,7.030800821,Non-pedigree,Male,5,30,130,No,No,1,23/05/2019,7.030800821,03/10/2022,10.39561944,No
Cat170_0,Cat170,Own134,29/05/2019,11/04/2012,7.12936345,Non-pedigree,Female,8,30,114.8,No,No,1,29/05/2019,7.12936345,17/07/2023,11.26351814,No
Cat172_0,Cat172,Own113,29/05/2019,08/08/2010,8.804928131,Non-pedigree,Female,5,30,135.2,No,No,1,29/05/2019,8.804928131,12/06/2023,12.84325804,No
Cat173_0,Cat173,Own135,04/06/2019,29/09/2011,7.679671458,Non-pedigree,Female,4,21,123.6,No,No,1,04/06/2019,7.679671458,04/06/2019,7.679671458,No
Cat174_0,Cat174,Own136,04/06/2019,16/05/2012,7.049965777,Non-pedigree,Female,5,30,118.8,No,No,1,04/06/2019,7.049965777,10/10/2023,11.40041068,No
Cat175_0,Cat175,Own137,05/06/2019,18/05/2012,7.047227926,Non-pedigree,Female,7,29,108,No,No,1,05/06/2019,7.047227926,05/06/2019,7.047227926,No
Cat176_0,Cat176,Own111,12/06/2019,12/06/2012,6.997946612,Non-pedigree,Male,6,30,116,No,No,1,12/06/2019,6.997946612,08/06/2022,9.987679671,No
Cat177_0,Cat177,Own138,12/06/2019,01/03/2009,10.28062971,Non-pedigree,Female,5,22,128,No,No,1,12/06/2019,10.28062971,05/12/2019,10.76249144,No
Cat178_0,Cat178,Own139,03/07/2019,01/09/2009,9.834360027,Non-pedigree,Female,6,26,152.2,No,No,1,03/07/2019,9.834360027,02/02/2022,12.42162902,No
Cat179_0,Cat179,Own068,31/07/2019,01/06/2012,7.162217659,Non-pedigree,Male,6,30,132.4,No,No,1,31/07/2019,7.162217659,24/01/2024,11.64681725,No
Cat180_0,Cat180,Own140,08/08/2019,01/08/2012,7.017111567,Non-pedigree,Female,6,26,119.5,No,No,1,08/08/2019,7.017111567,10/09/2020,8.109514031,No
Cat181_0,Cat181,Own141,15/08/2019,01/08/2011,8.038329911,Non-pedigree,Male,5,30,124,No,No,1,15/08/2019,8.038329911,27/03/2023,11.65229295,No
Cat182_0,Cat182,Own141,15/08/2019,01/08/2011,8.038329911,Non-pedigree,Male,5,30,119.2,No,No,1,15/08/2019,8.038329911,27/03/2023,11.65229295,No
Cat183_0,Cat183,Own142,15/08/2019,01/08/2011,8.038329911,Non-pedigree,Female,8,28,120,No,No,1,15/08/2019,8.038329911,13/02/2020,8.536618754,No
Cat184_0,Cat184,Own062,20/08/2019,01/08/2012,7.049965777,Non-pedigree,Male,7,27,139.3,No,No,1,20/08/2019,7.049965777,22/08/2023,11.05544148,No
Cat186_0,Cat186,Own141,21/08/2019,01/08/2012,7.052703628,Non-pedigree,Female,5,30,160,No,No,1,21/08/2019,7.052703628,21/08/2019,7.052703628,No
Cat187_0,Cat187,Own141,21/08/2019,01/08/2011,8.054757016,Non-pedigree,Male,4,26,140,No,No,1,21/08/2019,8.054757016,15/03/2022,10.6201232,No
Cat188_0,Cat188,Own143,03/09/2019,01/09/2012,7.003422313,Non-pedigree,Female,5,28,117.2,No,No,1,03/09/2019,7.003422313,03/09/2019,7.003422313,No
Cat189_0,Cat189,Own141,04/09/2019,01/09/2011,8.008213552,Non-pedigree,Male,8,28,120,No,No,1,04/09/2019,8.008213552,27/03/2023,11.56741958,No
Cat190_0,Cat190,Own141,04/09/2019,01/09/2010,9.00752909,Non-pedigree,Male,8,30,140,No,Yes,2,04/09/2019,9.00752909,10/03/2020,9.522245038,No
Cat191_0,Cat191,Own141,05/09/2019,03/01/2013,6.669404517,Non-pedigree,Female,9,28,105,No,No,1,05/09/2019,6.669404517,28/03/2023,10.22861054,No
Cat192_0,Cat192,Own141,05/09/2019,01/09/2011,8.010951403,Non-pedigree,Female,5,30,108,No,No,1,05/09/2019,8.010951403,28/03/2023,11.57015743,No
Cat193_0,Cat193,Own141,17/09/2019,01/09/2009,10.04243669,Non-pedigree,Male,5,26,114.25,No,No,1,17/09/2019,10.04243669,28/03/2023,13.5687885,No
Cat194_0,Cat194,Own141,17/09/2019,01/09/2012,7.041752225,Non-pedigree,Female,7,30,120,No,No,1,17/09/2019,7.041752225,28/03/2023,10.56810404,No
Cat195_0,Cat195,Own141,17/09/2019,01/09/2012,7.041752225,Non-pedigree,Female,7,30,117.5,No,No,1,17/09/2019,7.041752225,10/03/2020,7.520876112,No
Cat196_0,Cat196,Own144,17/09/2019,14/05/2012,7.342915811,Pedigree,Female,5,30,97.8,No,No,1,17/09/2019,7.342915811,22/06/2022,10.10540726,No
Cat197_0,Cat197,Own141,19/09/2019,01/09/2012,7.047227926,Non-pedigree,Male,6,30,140,No,Yes,2,19/09/2019,7.047227926,28/09/2021,9.073237509,No
Cat198_0,Cat198,Own141,19/09/2019,01/09/2011,8.049281314,Non-pedigree,Male,6,30,137.5,No,Yes,2,19/09/2019,8.049281314,10/03/2020,8.5229295,No
Cat199_0,Cat199,Own145,24/09/2019,01/10/2010,8.980150582,Non-pedigree,Female,4,26,112.4,No,No,1,24/09/2019,8.980150582,27/09/2023,12.98836413,No
Cat200_0,Cat200,Own061,25/09/2019,15/04/2012,7.44421629,Pedigree,Female,4,26,105,No,No,1,25/09/2019,7.44421629,25/09/2019,7.44421629,No
Cat201_0,Cat201,Own146,01/10/2019,01/01/2011,8.747433265,Non-pedigree,Female,5,26,97,No,No,1,01/10/2019,8.747433265,01/10/2019,8.747433265,No
Cat202_0,Cat202,Own146,01/10/2019,01/01/2012,7.748117728,Non-pedigree,Female,5,26,129,No,No,1,01/10/2019,7.748117728,01/10/2019,7.748117728,No
Cat203_0,Cat203,Own014,08/10/2019,22/09/2012,7.041752225,Non-pedigree,Male,5,30,140,No,Yes,2,08/10/2019,7.041752225,14/12/2021,9.226557153,No
Cat204_0,Cat204,Own031,08/10/2019,01/10/2012,7.017111567,Non-pedigree,Female,7,30,125.8,No,Yes,2,08/10/2019,7.017111567,23/05/2023,10.63928816,No
Cat205_0,Cat205,Own147,10/10/2019,01/01/2012,7.772758385,Non-pedigree,Female,7,30,110,No,No,1,10/10/2019,7.772758385,06/12/2023,11.92881588,No
Cat206_1,Cat206,Own147,01/10/2020,01/01/2012,8.750171116,Non-pedigree,Female,7,30,123,No,No,1,01/10/2020,8.750171116,01/10/2020,8.750171116,No
Cat207_0,Cat207,Own148,04/03/2020,18/01/2013,7.123887748,Pedigree,Male,6,30,143,No,No,1,04/03/2020,7.123887748,08/09/2020,7.638603696,No
Cat209_0,Cat209,Own149,05/03/2020,02/03/2010,10.00958248,Non-pedigree,Female,6,30,110,No,No,1,05/03/2020,10.00958248,10/10/2023,13.60711841,No
