Cat_ID_timepoint,Cat_ID,Owner_ID,timepoint,date,dob,Age_years,Breed,breed,Sex,neuter_status,weight,BCS,MCS_combined,Heart_murmur,HM_grade,HM_at_least_once,HR,CKD,CKD_IRIS,CKD_over.study,Hypertension,hypertensive_over.study,Diabetes_mellitus,diabetes_over.study,Hyperthyroidism,hyperthyroid_over.study,oe.abnormalities_Yes_no_incomplete,oe.abnormality_score,oe_abnormalities_over_study,Dental_disease,dental_dz_over_study,Neoplasia,neoplasia_over.study,FIV.Y.N.,Medications,log_sbp,SBP,Healthy_visit,Overall_health_status
Cat035_2.5,Cat035,Own028,2.5,04/12/2019,09/10/2008,11.15126626,Non-pedigree,DMH,Male,Yes,4.91,5,26,No,0,Yes,180,Yes,2,Yes,No,No,No,No,No,No,Yes,4,1,No,1,No,No,No,NA,4.941642423,140,No,Not_Healthy
Cat035_3.5,Cat035,Own028,3.5,10/12/2020,09/10/2008,12.16974675,Non-pedigree,DMH,Male,Yes,4.69,5,26,No,0,Yes,222,Yes,2,Yes,Yes,No,No,No,No,No,Yes,6,1,No,1,No,No,No,NA,5.135798437,170,No,Not_Healthy
Cat035_4,Cat035,Own028,4,01/06/2021,09/10/2008,12.64339493,Non-pedigree,DMH,Male,Yes,4.85,5,25,No,0,Yes,160,Yes,2,Yes,No,No,No,No,No,No,Yes,1,1,No,1,No,No,No,NA,4.94021283,139.8,No,Not_Healthy
Cat036_0,Cat036,Own029,0,25/07/2017,12/02/2008,9.448323066,Non-pedigree,DSH,Female,Yes,5.2,6,26,No,0,No,210,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,0,No,No,No,NA,4.987707789,146.6,Yes,Healthy
Cat037_0,Cat037,Own030,0,01/08/2017,30/07/2007,10.00684463,Pedigree,Siamese,Female,Yes,3.37,6,30,No,0,No,190,No,0,No,No,No,No,No,No,No,No,0,0,No,0,No,No,No,NA,4.718498871,112,Yes,Healthy
Cat038_0,Cat038,Own031,0,01/08/2017,05/10/2007,9.823408624,Non-pedigree,DMH,Male,Yes,5.15,4,30,No,0,Yes,180,No,0,No,No,Yes,No,No,No,No,Yes,2,1,Yes,1,No,Yes,No,NA,5.027164596,152.5,Yes,Not_Healthy
Cat038_0.5,Cat038,Own031,0.5,21/02/2018,05/10/2007,10.38193018,Non-pedigree,DMH,Male,Yes,4.96,4,28,Yes,1,Yes,210,No,NA,No,Yes,Yes,No,No,No,No,Yes,2,1,No,1,No,Yes,No,NA,5.117993812,167,Yes,Not_Healthy
Cat038_1,Cat038,Own031,1,21/08/2018,05/10/2007,10.87748118,Non-pedigree,DMH,Male,Yes,4.94,5,24,No,0,Yes,198,No,0,No,No,Yes,No,No,No,No,Yes,4,1,No,1,No,Yes,No,NA,4.97535348,144.8,Yes,Not_Healthy
Cat038_1.5,Cat038,Own031,1.5,16/04/2019,05/10/2007,11.52908966,Non-pedigree,DMH,Male,Yes,4.6,4,22,Yes,1,Yes,210,No,0,No,No,Yes,No,No,No,No,Yes,2,1,Yes,1,No,Yes,No,NA,4.912654886,136,Yes,Not_Healthy
Cat038_2,Cat038,Own031,2,08/10/2019,05/10/2007,12.00821355,Non-pedigree,DMH,Male,Yes,4.6,5,28,Yes,2,Yes,180,No,0,No,No,Yes,No,No,No,No,Yes,NA,1,Yes,1,No,Yes,No,NA,4.960043508,142.6,Yes,Not_Healthy
Cat038_3,Cat038,Own031,3,29/10/2020,05/10/2007,13.06776181,Non-pedigree,DMH,Male,Yes,4.81,5,28,No,0,Yes,228,No,0,No,Yes,Yes,No,No,No,No,Yes,NA,1,Yes,1,No,Yes,No,NA,5.534574557,253.3,No,Not_Healthy
Cat038_4,Cat038,Own031,4,12/10/2021,05/10/2007,14.02053388,Non-pedigree,DMH,Male,Yes,4.4,4,NA,Yes,3,Yes,200,No,0,No,Yes,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,Yes,No,Amlodipine,5.204006687,182,No,Not_Healthy
Cat038_4.5,Cat038,Own031,4.5,10/05/2022,05/10/2007,14.59548255,Non-pedigree,DMH,Male,Yes,4.19,4,13,Yes,3,Yes,140,No,0,No,Yes,Yes,No,No,No,No,Yes,9,1,Yes,1,No,Yes,No,Amlodipine,5.105945474,165,No,Not_Healthy
Cat038_5,Cat038,Own031,5,22/11/2022,05/10/2007,15.1321013,Non-pedigree,DMH,Male,Yes,4.19,4,17,Yes,3,Yes,188,No,0,No,Yes,Yes,No,No,No,No,Yes,9,1,Yes,1,No,Yes,No,Amlodipine,5.123963979,168,No,Not_Healthy
Cat038_5.5,Cat038,Own031,5.5,23/05/2023,05/10/2007,15.63039014,Non-pedigree,DMH,Male,Yes,4.34,4,13,Yes,2,Yes,220,No,0,No,Yes,Yes,No,No,No,No,Yes,10,1,Yes,1,Yes,Yes,No,Amlodipine,5.090062428,162.4,No,Not_Healthy
Cat039_0,Cat039,Own004,0,02/08/2017,28/05/2010,7.181382615,Non-pedigree,DSH,Male,No,5.1,3,30,Yes,1,Yes,150,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.700480366,110,Yes,Not_Healthy
Cat039_0.5,Cat039,Own004,0.5,22/03/2018,28/05/2010,7.816563997,Non-pedigree,DSH,Male,No,5.32,4,30,Yes,2,Yes,132,No,NA,NA,No,No,No,No,No,No,NA,NA,1,NA,1,NA,No,NA,NA,4.882801923,132,Yes,Not_Healthy
Cat039_1,Cat039,Own004,1,12/09/2018,28/05/2010,8.292950034,Non-pedigree,DSH,Male,No,5.1,5,30,Yes,2,Yes,114,No,0,No,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.997212274,148,Yes,Not_Healthy
Cat040_0,Cat040,Own032,0,02/08/2017,27/08/2008,8.930869268,Non-pedigree,DLH,Female,Yes,3.87,4,30,No,0,No,200,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat040_0.5,Cat040,Own032,0.5,01/03/2018,27/08/2008,9.508555784,Non-pedigree,DLH,Female,Yes,3.95,4,28,No,0,No,232,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat040_1,Cat040,Own032,1,02/10/2018,27/08/2008,10.0971937,Non-pedigree,DLH,Female,Yes,3.85,5,NA,No,0,No,179,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,Yes,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat040_1.5,Cat040,Own032,1.5,24/04/2019,27/08/2008,10.65571526,Non-pedigree,DLH,Female,Yes,4.06,5,NA,No,0,No,210,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.941642423,140,Yes,Healthy
Cat040_2,Cat040,Own032,2,15/10/2019,27/08/2008,11.1321013,Non-pedigree,DLH,Female,Yes,4.1,5,NA,No,0,No,NA,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat040_3,Cat040,Own032,3,29/10/2020,27/08/2008,12.1724846,Non-pedigree,DLH,Female,Yes,3.46,NA,NA,No,0,No,180,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,NA,NA,Yes,Healthy
Cat040_4,Cat040,Own032,4,20/10/2021,27/08/2008,13.14715948,Non-pedigree,DLH,Female,Yes,3.88,5,NA,No,0,No,196,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,No,1,No,No,No,NA,4.875197323,131,Yes,Healthy
Cat040_4.5,Cat040,Own032,4.5,16/06/2022,27/08/2008,13.80150582,Non-pedigree,DLH,Female,Yes,NA,NA,NA,NA,NA,No,NA,No,NA,No,No,No,No,No,No,No,NA,NA,0,NA,1,NA,No,NA,NA,NA,NA,Yes,Healthy
Cat040_5,Cat040,Own032,5,19/12/2022,27/08/2008,14.31074606,Non-pedigree,DLH,Female,Yes,3.51,4,20,No,0,No,200,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,NA,1,No,No,NA,NA,4.941642423,140,Yes,Healthy
Cat040_5.5,Cat040,Own032,5.5,19/06/2023,27/08/2008,14.80903491,Non-pedigree,DLH,Female,Yes,3.76,4,18,No,0,No,180,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,0,NA,1,No,No,No,NA,4.912654886,136,Yes,Healthy
Cat040_6,Cat040,Own032,6,24/01/2024,27/08/2008,15.40862423,Non-pedigree,DLH,Female,Yes,3.2,3,20,No,0,No,144,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,0,NA,1,No,No,No,NA,4.86753445,130,Yes,Healthy
Cat041_0,Cat041,Own033,0,09/08/2017,30/10/2007,9.776865161,Non-pedigree,DSH,Female,Yes,3.36,5,30,No,0,Yes,170,No,0,No,No,No,No,No,No,No,Yes,3,1,No,1,No,No,No,NA,4.700480366,110,Yes,Not_Healthy
Cat041_0.5,Cat041,Own033,0.5,27/02/2018,30/10/2007,10.32991102,Non-pedigree,DSH,Female,Yes,3.26,4,30,No,0,Yes,150,No,NA,No,No,No,No,No,No,No,Yes,2,1,No,1,No,No,No,NA,4.646312129,104.2,Yes,Not_Healthy
Cat041_1,Cat041,Own033,1,25/07/2018,30/10/2007,10.73511294,Non-pedigree,DSH,Female,Yes,3.58,5,28,No,0,Yes,156,No,NA,No,No,No,No,No,No,No,Yes,3,1,No,1,No,No,No,NA,4.700480366,110,Yes,Not_Healthy
Cat041_1.5,Cat041,Own033,1.5,27/02/2019,30/10/2007,11.32922656,Non-pedigree,DSH,Female,Yes,3.74,6,30,No,0,Yes,192,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.676560182,107.4,Yes,Not_Healthy
Cat041_2,Cat041,Own033,2,29/08/2019,30/10/2007,11.83025325,Non-pedigree,DSH,Female,Yes,3.58,5,30,No,0,Yes,168,No,NA,No,No,No,No,No,No,No,Yes,5,1,No,1,No,No,No,NA,4.605170186,100,Yes,Not_Healthy
Cat041_2.5,Cat041,Own033,2.5,11/02/2020,30/10/2007,12.28473648,Non-pedigree,DSH,Female,Yes,3.28,4,21,No,0,Yes,210,No,0,No,No,No,No,No,No,No,Yes,NA,1,No,1,No,No,No,NA,4.787491743,120,Yes,Not_Healthy
Cat041_3,Cat041,Own033,3,20/08/2020,30/10/2007,12.80766598,Non-pedigree,DSH,Female,Yes,3.45,5,30,No,0,Yes,168,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.753590191,116,Yes,Not_Healthy
Cat041_4,Cat041,Own033,4,10/08/2021,30/10/2007,13.77960301,Non-pedigree,DSH,Female,Yes,3.6,5,28,No,0,Yes,196,No,0,No,No,No,No,No,No,No,Yes,NA,1,No,1,No,No,No,NA,4.829912459,125.2,Yes,Not_Healthy
Cat041_4.5,Cat041,Own033,4.5,16/02/2022,30/10/2007,14.29979466,Non-pedigree,DSH,Female,Yes,3.34,5,21,Yes,2,Yes,164,No,0,No,No,No,No,No,No,No,Yes,7,1,No,1,No,No,No,NA,4.80073697,121.6,Yes,Not_Healthy
Cat041_5,Cat041,Own033,5,02/08/2022,30/10/2007,14.75701574,Non-pedigree,DSH,Female,Yes,3.67,6,22,No,0,Yes,180,No,NA,No,No,No,No,No,No,No,Yes,3,1,No,1,No,No,No,NA,4.757032535,116.4,Yes,Not_Healthy
Cat041_5.5,Cat041,Own033,5.5,28/02/2023,30/10/2007,15.33196441,Non-pedigree,DSH,Female,Yes,3.49,6,20,No,0,Yes,180,No,0,No,No,No,No,No,No,No,Yes,9,1,No,1,No,No,No,NA,4.986342602,146.4,No,Not_Healthy
Cat041_6,Cat041,Own033,6,22/08/2023,30/10/2007,15.8110883,Non-pedigree,DSH,Female,Yes,3.56,6,20,Yes,2,Yes,180,No,0,No,No,No,No,No,No,No,Yes,12,1,No,1,No,No,No,Previously on meloxicam but no longer,4.902307417,134.6,No,Not_Healthy
Cat042_0,Cat042,Own034,0,09/08/2017,03/09/2007,9.932922656,Non-pedigree,DSH,Male,Yes,5.34,5,30,No,0,Yes,220,No,0,Yes,No,Yes,No,No,No,No,Yes,5,1,No,1,No,No,No,NA,4.844187086,127,Yes,Not_Healthy
Cat042_0.5,Cat042,Own034,0.5,28/02/2018,03/09/2007,10.48870637,Non-pedigree,DSH,Male,Yes,5.58,5,30,No,0,Yes,180,No,0,Yes,No,Yes,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.81462041,123.3,Yes,Not_Healthy
Cat042_1,Cat042,Own034,1,22/08/2018,03/09/2007,10.96783025,Non-pedigree,DSH,Male,Yes,5.56,6,26,No,0,Yes,192,No,0,Yes,No,Yes,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.997212274,148,Yes,Not_Healthy
Cat042_1.5,Cat042,Own034,1.5,06/02/2019,03/09/2007,11.42778919,Non-pedigree,DSH,Male,Yes,5.38,6,26,Yes,2,Yes,186,No,0,Yes,No,Yes,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.886582645,132.5,Yes,Not_Healthy
Cat042_2,Cat042,Own034,2,19/09/2019,03/09/2007,12.04380561,Non-pedigree,DSH,Male,Yes,5.2,6,30,Yes,2,Yes,198,No,0,Yes,No,Yes,No,No,No,No,Yes,3,1,No,1,No,No,No,NA,5.023880521,152,Yes,Not_Healthy
Cat042_2.5,Cat042,Own034,2.5,11/03/2020,03/09/2007,12.52019165,Non-pedigree,DSH,Male,Yes,5.48,6,28,Yes,2,Yes,216,No,0,Yes,No,Yes,No,No,No,No,No,0,1,No,1,No,No,No,NA,4.955827058,142,Yes,Not_Healthy
Cat042_4,Cat042,Own034,4,18/01/2022,03/09/2007,14.37645448,Non-pedigree,DSH,Male,Yes,4.88,4,20,Yes,4,Yes,228,Yes,2,Yes,Yes,Yes,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,5.204006687,182,No,Not_Healthy
Cat042_4.5,Cat042,Own034,4.5,22/06/2022,03/09/2007,14.80082136,Non-pedigree,DSH,Male,Yes,5.08,5,22,Yes,2,Yes,168,Yes,2,Yes,Yes,Yes,No,No,No,No,Yes,6,1,Yes,1,No,No,No,NA,5.159055299,174,No,Not_Healthy
Cat042_5,Cat042,Own034,5,05/12/2022,03/09/2007,15.25530459,Non-pedigree,DSH,Male,Yes,4.66,4,20,Yes,4,Yes,200,Yes,2,Yes,Yes,Yes,No,No,No,No,Yes,9,1,Yes,1,No,No,No,NA,5.272999559,195,No,Not_Healthy
Cat042_6,Cat042,Own034,6,24/01/2024,03/09/2007,16.39151266,Non-pedigree,DSH,Male,Yes,4.1,3,20,Yes,2,Yes,174,Yes,NA,Yes,Yes,Yes,No,No,No,No,Yes,12,1,Yes,1,No,No,no,none,5.295814236,199.5,No,Not_Healthy
Cat043_0,Cat043,Own035,0,15/08/2017,01/01/2009,8.618754278,Non-pedigree,DLH,Female,Yes,3.85,4,30,Yes,3,Yes,200,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.682131227,108,Yes,Not_Healthy
Cat043_0.5,Cat043,Own035,0.5,22/03/2018,01/01/2009,9.2183436,Non-pedigree,DLH,Female,Yes,3.7,4,30,No,0,Yes,204,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.768988271,117.8,Yes,Not_Healthy
Cat043_1,Cat043,Own035,1,09/10/2018,01/01/2009,9.768651608,Non-pedigree,DLH,Female,Yes,3.8,5,30,Yes,1,Yes,186,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.711330382,111.2,Yes,Not_Healthy
Cat043_1.5,Cat043,Own035,1.5,25/04/2019,01/01/2009,10.31074606,Non-pedigree,DLH,Female,Yes,3.6,5,28,Yes,NA,Yes,210,No,0,No,No,No,No,No,No,No,Yes,6,1,Yes,1,No,No,No,NA,4.8978398,134,Yes,Not_Healthy
Cat043_2,Cat043,Own035,2,30/10/2019,01/01/2009,10.82546201,Non-pedigree,DLH,Female,Yes,3.94,5,30,Yes,1,Yes,198,No,0,No,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.858260814,128.8,No,Not_Healthy
Cat043_3,Cat043,Own035,3,29/10/2020,01/01/2009,11.82477755,Non-pedigree,DLH,Female,Yes,3.48,4,NA,Yes,2,Yes,210,No,0,No,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.873287103,130.75,Yes,Not_Healthy
Cat043_4,Cat043,Own035,4,05/10/2021,01/01/2009,12.75838467,Non-pedigree,DLH,Female,Yes,3.77,5,20,No,0,Yes,196,No,0,No,No,No,No,No,No,No,Yes,5,1,No,1,No,No,No,NA,4.983606622,146,Yes,Not_Healthy
Cat043_5,Cat043,Own035,5,20/07/2022,01/01/2009,13.54688569,Non-pedigree,DLH,Female,Yes,3.69,5,20,Yes,2,Yes,188,No,0,No,No,No,No,No,No,No,Yes,6,1,Yes,1,No,No,No,NA,4.934473933,139,Yes,Not_Healthy
Cat043_5.5,Cat043,Own035,5.5,16/01/2023,01/01/2009,14.03969884,Non-pedigree,DLH,Female,Yes,3.85,5,20,Yes,1,Yes,160,No,0,No,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.978112102,145.2,Yes,Not_Healthy
Cat043_6,Cat043,Own035,6,12/07/2023,01/01/2009,14.52429843,Non-pedigree,DLH,Female,Yes,3.87,5,18,Yes,3,Yes,196,No,0,No,No,No,No,No,No,No,Yes,8,1,Yes,1,No,No,No,none,4.998900038,148.25,No,Not_Healthy
Cat044_0,Cat044,Own036,0,16/08/2017,21/04/2009,8.320328542,Non-pedigree,DSH,Female,Yes,3.54,5,24,No,0,No,180,No,0,Yes,No,No,No,No,No,No,No,0,1,No,1,No,No,No,NA,4.890349128,133,Yes,Not_Healthy
Cat044_0.5,Cat044,Own036,0.5,15/02/2018,21/04/2009,8.821355236,Non-pedigree,DSH,Female,Yes,3.71,4,26,No,0,No,176,No,NA,Yes,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.757032535,116.4,Yes,Not_Healthy
Cat044_1,Cat044,Own036,1,28/08/2018,21/04/2009,9.352498289,Non-pedigree,DSH,Female,Yes,3.57,5,30,No,0,No,168,Yes,2,Yes,No,No,No,No,No,No,No,0,1,Yes,1,No,No,No,NA,4.873669439,130.8,Yes,Not_Healthy
Cat044_1.5,Cat044,Own036,1.5,28/02/2019,21/04/2009,9.856262834,Non-pedigree,DSH,Female,Yes,3.64,6,30,No,0,No,168,Yes,NA,Yes,No,No,No,No,No,No,NA,NA,1,Yes,1,No,No,No,NA,4.820281566,124,Yes,Not_Healthy
Cat044_2,Cat044,Own036,2,29/08/2019,21/04/2009,10.35455168,Non-pedigree,DSH,Female,Yes,3.6,5,28,No,0,No,186,Yes,2,Yes,No,No,No,No,No,No,Yes,1,1,No,1,No,No,No,NA,4.818263401,123.75,Yes,Not_Healthy
Cat044_2.5,Cat044,Own036,2.5,05/02/2020,21/04/2009,10.7926078,Non-pedigree,DSH,Female,Yes,3.66,5,26,No,0,No,174,Yes,0,Yes,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.831508628,125.4,Yes,Not_Healthy
Cat044_3,Cat044,Own036,3,20/08/2020,21/04/2009,11.33196441,Non-pedigree,DSH,Female,Yes,3.49,5,28,No,0,No,186,Yes,0,Yes,No,No,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.923623917,137.5,Yes,Not_Healthy
Cat044_4,Cat044,Own036,4,03/08/2021,21/04/2009,12.28473648,Non-pedigree,DSH,Female,Yes,3.31,5,30,No,0,No,176,Yes,NA,Yes,No,No,No,No,No,No,Yes,1,1,Yes,1,No,No,No,NA,4.844187086,127,Yes,Not_Healthy
Cat044_4.5,Cat044,Own036,4.5,09/02/2022,21/04/2009,12.80492813,Non-pedigree,DSH,Female,Yes,3.15,4,20,No,0,No,188,Yes,2,Yes,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.833102254,125.6,No,Not_Healthy
Cat044_5,Cat044,Own036,5,02/08/2022,21/04/2009,13.28131417,Non-pedigree,DSH,Female,Yes,3.22,4,17,No,0,No,160,Yes,2,Yes,No,No,No,No,No,No,Yes,11,1,No,1,No,No,No,NA,4.947340444,140.8,No,Not_Healthy
Cat044_5.5,Cat044,Own036,5.5,07/02/2023,21/04/2009,13.79876797,Non-pedigree,DSH,Female,Yes,3.29,4,20,No,0,No,192,Yes,2,Yes,No,No,No,No,No,No,Yes,3,1,Yes,1,No,No,No,none,4.90823336,135.4,No,Not_Healthy
Cat044_6,Cat044,Own036,6,08/08/2023,21/04/2009,14.29705681,Non-pedigree,DSH,Female,Yes,3.25,4,20,No,0,No,180,Yes,2,Yes,No,No,No,No,No,No,Yes,13,1,NA,1,No,No,No,none,5.003946306,149,No,Not_Healthy
Cat045_0,Cat045,Own037,0,16/08/2017,08/04/2009,8.355920602,Non-pedigree,DSH,Male,Yes,6.97,7,NA,No,0,Yes,160,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.941642423,140,Yes,Not_Healthy
Cat045_0.5,Cat045,Own037,0.5,14/02/2018,08/04/2009,8.854209446,Non-pedigree,DSH,Male,Yes,6.59,7,30,No,0,Yes,152,No,NA,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.79785453,121.25,Yes,Not_Healthy
Cat045_1,Cat045,Own037,1,08/08/2018,08/04/2009,9.333333333,Non-pedigree,DSH,Male,Yes,6.21,6,NA,No,0,Yes,138,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.532599493,93,Yes,Not_Healthy
Cat045_1.5,Cat045,Own037,1.5,23/01/2019,08/04/2009,9.793292266,Non-pedigree,DSH,Male,Yes,6.14,6,26,No,0,Yes,168,No,NA,No,No,Yes,No,No,No,No,NA,NA,1,No,1,No,No,No,NA,4.852030264,128,Yes,Not_Healthy
Cat045_2,Cat045,Own037,2,08/08/2019,08/04/2009,10.33264887,Non-pedigree,DSH,Male,Yes,6.49,6,28,No,0,Yes,138,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,No,1,No,No,No,NA,4.705015521,110.5,Yes,Not_Healthy
Cat045_2.5,Cat045,Own037,2.5,29/01/2020,08/04/2009,10.80903491,Non-pedigree,DSH,Male,Yes,6.22,6,26,Yes,1,Yes,192,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.605170186,100,Yes,Not_Healthy
Cat045_3,Cat045,Own037,3,07/07/2020,08/04/2009,11.24709103,Non-pedigree,DSH,Male,Yes,5.91,6,30,Yes,1,Yes,180,No,0,No,No,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,5.043425117,155,Yes,Not_Healthy
Cat045_4,Cat045,Own037,4,28/07/2021,08/04/2009,12.30390144,Non-pedigree,DSH,Male,Yes,5.94,6,26,Yes,1,Yes,160,No,0,No,Yes,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,5.135798437,170,No,Not_Healthy
Cat045_4.5,Cat045,Own037,4.5,18/01/2022,08/04/2009,12.78028747,Non-pedigree,DSH,Male,Yes,6.01,6,24,No,0,Yes,184,No,0,No,Yes,Yes,No,No,No,No,Yes,3,1,Yes,1,No,No,No,NA,5.18178355,178,No,Not_Healthy
Cat045_5,Cat045,Own037,5,07/07/2022,08/04/2009,13.24572211,Non-pedigree,DSH,Male,Yes,6.28,7,23,No,0,Yes,180,No,0,No,Yes,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,5.318119994,204,No,Not_Healthy
Cat045_5.5,Cat045,Own037,5.5,16/01/2023,08/04/2009,13.77412731,Non-pedigree,DSH,Male,Yes,6.01,7,20,No,0,Yes,180,No,0,No,Yes,Yes,No,No,No,No,Yes,7,1,Yes,1,No,No,No,None,5.252273428,191,No,Not_Healthy
Cat045_6,Cat045,Own037,6,10/07/2023,08/04/2009,14.2532512,Non-pedigree,DSH,Male,Yes,6.12,7,20,No,0,Yes,164,No,0,No,Yes,Yes,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,Amlodipine,5.312220272,202.8,No,Not_Healthy
Cat046_0,Cat046,Own025,0,16/08/2017,08/08/2007,10.02327173,Pedigree,Persian,Female,Yes,4.04,6,30,Yes,2,Yes,210,No,0,No,No,No,No,No,No,No,Yes,3,1,Yes,1,No,No,No,NA,4.799914263,121.5,Yes,Not_Healthy
Cat046_0.5,Cat046,Own025,0.5,13/02/2018,08/08/2007,10.51882272,Pedigree,Persian,Female,Yes,4.15,5,30,No,0,Yes,200,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.789572909,120.25,Yes,Not_Healthy
Cat046_1,Cat046,Own025,1,08/08/2018,08/08/2007,11.00068446,Pedigree,Persian,Female,Yes,3.7,5,28,Yes,2,Yes,186,No,0,No,No,No,No,No,No,No,Yes,2,1,Yes,1,No,No,No,NA,4.820281566,124,Yes,Not_Healthy
Cat046_1.5,Cat046,Own025,1.5,07/02/2019,08/08/2007,11.50171116,Pedigree,Persian,Female,Yes,3.36,4,26,Yes,3,Yes,174,No,0,No,No,No,No,No,No,No,Yes,3,1,Yes,1,No,No,No,NA,4.938064601,139.5,Yes,Not_Healthy
Cat046_2,Cat046,Own025,2,29/08/2019,08/08/2007,12.05749487,Pedigree,Persian,Female,Yes,3.19,4,28,Yes,3,Yes,240,No,0,No,No,No,No,No,No,No,No,0,1,No,1,No,No,No,NA,4.855928904,128.5,Yes,Not_Healthy
Cat046_2.5,Cat046,Own025,2.5,20/02/2020,08/08/2007,12.53661875,Pedigree,Persian,Female,Yes,2.95,3,21,Yes,3,Yes,168,No,0,No,No,No,No,No,No,No,Yes,NA,1,No,1,No,No,No,NA,4.848116365,127.5,Yes,Not_Healthy
Cat046_3,Cat046,Own025,3,20/08/2020,08/08/2007,13.0349076,Pedigree,Persian,Female,Yes,2.66,2,20,Yes,3,Yes,240,No,NA,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.721173862,112.3,Yes,Not_Healthy
Cat046_4,Cat046,Own025,4,10/08/2021,08/08/2007,14.00684463,Pedigree,Persian,Female,Yes,2.61,3,14,Yes,3,Yes,192,No,0,No,No,No,No,No,No,No,Incomplete_OE,NA,1,Yes,1,No,No,No,NA,4.770684624,118,Yes,Not_Healthy
Cat046_4.5,Cat046,Own025,4.5,25/01/2022,08/08/2007,14.46680356,Pedigree,Persian,Female,Yes,2.89,3,15,Yes,4,Yes,256,No,0,No,No,No,No,No,No,No,Yes,14,1,Yes,1,No,No,No,NA,4.912654886,136,No,Not_Healthy
Cat046_5,Cat046,Own025,5,06/07/2022,08/08/2007,14.91033539,Pedigree,Persian,Female,Yes,3.13,4,18,Yes,4,Yes,240,No,0,No,No,No,No,No,No,No,Yes,13,1,No,1,No,No,No,NA,4.964242255,143.2,No,Not_Healthy
Cat046_5.5,Cat046,Own025,5.5,24/01/2023,08/08/2007,15.46338125,Pedigree,Persian,Female,Yes,2.86,2,8,Yes,4,Yes,200,No,0,No,No,No,No,No,No,No,Yes,13,1,Yes,1,No,No,No,Solensia and vitamin B12,4.774912961,118.5,No,Not_Healthy
Cat047_0,Cat047,Own038,0,22/08/2017,02/05/2009,8.306639288,Non-pedigree,DSH,Female,unknown,3.95,5,22,Yes,2,Yes,210,Yes,4,Yes,No,No,No,No,No,No,Yes,NA,1,Yes,1,No,No,No,NA,4.930148043,138.4,No,Not_Healthy
